Consensus algorithm are required for working with ,a. Fault tolerant systems ,b. Distributed File Systems ,c. Message queues ,d. cloud and container environments ,e. All of the above ,e
What are the factors that decide which Data Node a block will be placed on? Select all that apply. ,a. Data Node doesn’t already have the same block ,b. Data Node has free space ,c. Data Node block size matches file block size ,d. Data Node is currently sending Heartbeats ,e. File type is compatible with Data Node ,abd
"In HDFS, rack awareness is considered when determining replica location to optimize data reliability, availability, and network bandwidth utilization. ",a. True,b. False,c. N/A,d. N/A,e. N/A,a
What does Spark core do? ,a. Job scheduling ,b. Distributing data across a cluster ,c. Monitoring data across a cluster ,d. All of the above. ,e. N/A,d
Apache Spark supports ______. (select all correct options)  ,a. Batch processing ,b. Stream processing ,c. Graph processing ,d. Machine Learning ,e. N/A,abcd
What is action in Spark RDD? ,a. Returns the result ,b. Takes RDD as input and produces one or more RDD as output. ,c. Creates one or many new RDDs ,d. All of the above ,e. N/A,a
Select the option which is not correct about Spark RDDs?,a. RDD is immutable. ,b. RDD provides two kind of Operations: Transformations & Actions. ,c. Spark revolves around the concept of RDDs. ,d. RDD is not suitable for iterative tasks. ,e. N/A,d
Select the options that are correct in Apache Spark? ,a. Transformations are the functions that are applied on an RDd. ,b. Transformations return one or more values/results. ,c. Transformations are not executed until an action is executed. ,d. Transformations are executed immediately. ,e. N/A,ac
"Chord protocol is a peer-to-peer lookup protocol, which maps keys to node using consistent hashing ",a. True,b. False,c. N/A,d. N/A,e. N/A,a
One similarity shared by Pastry protocol and Chord protocol is that they both implement node space that is conceptually circular ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
"One example of usage of Chord is time storage, in this case,  the key represents? The node represents? ","a. (data content, live machine. ","b. (data N/Ame, live machine. ","c. (data content, user) ",d. N/A,e. N/A,b
"In Chord, the Finger table is used for ",a. Storing the data ,b. Storing keys ,c. Storing nodes’ successors ,d. N/A,e. N/A,c
"In the Chord algorithm, the circle can store 8 nodes, but only has three nodes 0, 1, 5, what is node 0's successor? ",a. 1 ,b. 5 ,c. 2 ,d. 7 ,e. N/A,a
A distributed system is a system whose components communicate using message passing. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
Some aspects of a distributed system include (Select all that apply): ,a. Components may be separated by significant distance ,b. Components may be concurrent ,c. There is no global clock ,d. Components may fail independent of each other ,e. N/A,abcd
Examples of a distributed system include: ,a. Web sites ,b. Online games ,c. Algorithmic trading ,d. Streaming services such as Hulu ,e. N/A,abc
Backdoors and direct linking to another service’s data is allowed. ,a. True,b. False,c. N/A,d. N/A,e. N/A,b
Three models for reasoning about distributed systems are (select three.: ,a. Architectural models ,b. Communicating entities model ,c. Physical models ,d. Fundamentals model ,e. N/A,acd
Operating systems provide support for distributed systems. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
The basic unit of a distributed system is the process. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
Threads are the actors within a computing system. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
You can only have one thread in a process. ,a. True,b. False,c. N/A,d. N/A,e. N/A,b
Concurrency can happen with a single thread.,a. True,b. False,c. N/A,d. N/A,e. N/A,a
Parallelism can happen with a single core. ,a. True,b. False,c. N/A,d. N/A,e. N/A,b
Threading libraries give application developers a way to introduce parallelism into their programs.  ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
When a web server manages the creation of threads we call it: ,a. Implicit threading ,b. Explicit threading ,c. Extreme threading ,d. Single threaded programing ,e. N/A,a
A thread pool is a way to limit concurrency in your application. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
Java threads are preemptive. ,a. True,b. False,c. N/A,d. N/A,e. N/A,b
Which of the following methods on the Java Object API are for managing thread interactions? ,a. toString ,b. getClass ,c. wait ,d. notify ,e. clone ,cd
All Java objects have an associated monitor. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
If a thread calls wait on a Java object then the thread is put in the entry set. ,a. True,b. False,c. N/A,d. N/A,e. N/A,b
If a thread calls notify on a Java object then the thread is put into the wait set. ,a. True,b. False,c. N/A,d. N/A,e. N/A,b
A thread must first acquire the lock for an object before calling wait or notify. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
Middleware provides the following kinds of support for communication. ,a. Sockets ,b. Message passing ,c. Overlay networks ,d. Spell checking ,e. N/A,abc
Reliability in message passing means that is sent once may be received more than once. ,a. True,b. False,c. N/A,d. N/A,e. N/A,b
Message ordering is preserved in a reliable system. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
How many ports are available on a modern operating system? ,a. 255 ,b. 1023 ,c. 32767 ,d. 65535 ,e. N/A,d
UDP means: ,a. Unified data program ,b. United datagram protocol ,c. Underrated distributed programs ,d. User datagram protocol ,e. N/A,d
UDP is reliable: ,a. True,b. False,c. N/A,d. N/A,e. N/A,b
As an application developer you would select UDP as a message transport when ,"a. You require reliable, in-order, message delivery ","b. You require in-order, stable messages ",c. Your application can recover gracefully from missing messages ,d. Your application will crash if it gets a message out of order ,e. N/A,c
Examples of applications that use UDP include: ,a. Gaming ,b. Video streaming ,c. DNS ,d. HTTP ,e. N/A,abc
TCP provides which of the following benefits? ,a. Guaranteed in-order packet delivery. ,b. Packets are all acknowledged. ,c. Data transmission can overwhelm the receiver if the sender is sending too quickly. ,d. Packets are not automatically retried. ,e. N/A,ab
Examples of applications that use TCP include: ,a. HTTP ,b. FTP ,c. SSH ,d. Video streaming ,e. N/A,abc
To make a class serializable in Java you need to implement which interface? ,a. Serializable ,b. Marshallable ,c. Copyable ,d. Cloneable ,e. N/A,a
Popular formats for serialization include: ,a. JSON ,b. XML ,c. Binary ,d. CSV ,e. N/A,abcd
Multicast is a way to send data to more than one receiver at the same time. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
The MPI library provides a overlay network as a middleware component. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
"In centralized distributed synchronization algorithms, each node sends a request to the coordinator, when the node receives a reply from the coordinator, it can proceed and enter the critical section. What type of distributed computing paradigm it is? ",a. Message passing ,b. Shared memory ,c. Centralize ,d. a and b ,e. None of the above ,b
"In Causality and Timestamps Distributed Synchronization Algorithms, contending access requests between nodes will be arbitrated based on a causal precedence relation. What type of distributed computing paradigm it is?  ",a. Message passing ,b. Shared memory ,c. Causality and Timestamps ,d. a and b ,e. None of the above ,a
Distributed synchronization is required for ,a. Correctness ,b. Fairness ,c. a and b ,d. None of the above ,e. N/A,c
The main problem with totally ordering events using the scalar timestamps approach is that two or more events at different process may have identical timestamp. ,a. True,b. False,c. N/A,d. N/A,e. N/A,a
For proper synchronization in distributed systems ,a. Prevention from the deadlock is must ,b. Prevention of starvation is must ,c. Prevention from process failure ,d. All of the above ,e. N/A,ab
The Lamport’s mutual exclusion algorithm requires _______ messages per Critical Section invocation ,a. (N-a. ,b. 3(N-a. ,c. 2(N-a. ,d. 5(N-a. ,e. N/A,b
In distributed system each processor has its own ,a. Local Memory ,b. Clock ,c. Shared memory ,d. None of the mentioned ,e. N/A,ab
Method invocations between objects in the same process are ,a. Static method invocations ,b. Dynamic method invocations ,c. Local method invocations ,d. Temporal method invocations ,e. N/A,c
If one site fails in distributed system then ,a. the remaining sites can continue operating ,b. all the sites will stop working ,c. directly connected sites will stop working ,d. none of the mentioned ,e. N/A,a
